CHROM,POS,REF,ALT,TYPE,INS_TYPE,LEN,QUAL,AD_REF,AD_ALT,DP,BAM_DP,GT,ZYG,RK_DISCOSNP,TOOL,SAMPLE,TRUE_POS,FALSE_POS,FALSE_NEG
NC_000962.3,5240,,,gyrB,,,,,,,,,,,,,,,
NC_000962.3,7302,,,gyrA,,,,,,,,,,,,,,,
NC_000962.3,759807,,,rpoB,,,,,,,,,,,,,,,
NC_000962.3,781560,,,rpsL,,,,,,,,,,,,,,,
NC_000962.3,1471846,,,rrs,,,,,,,,,,,,,,,
NC_000962.3,1673300,,,inhA_promoter,,,,,,,,,,,,,,,
NC_000962.3,1673440,,,fabG1,,,,,,,,,,,,,,,
NC_000962.3,1674202,,,inhA,,,,,,,,,,,,,,,
NC_000962.3,2153889,,,katG,,,,,,,,,,,,,,,
NC_000962.3,2288681,,,pncA,,,,,,,,,,,,,,,
NC_000962.3,2713785,,,eis_promoter,,,,,,,,,,,,,,,
NC_000962.3,2714124,,,eis,,,,,,,,,,,,,,,
NC_000962.3,2726088,,,ahpC_promoter,,,,,,,,,,,,,,,
NC_000962.3,2726193,,,ahpC,,,,,,,,,,,,,,,
NC_000962.3,4239863,,,embC,,,,,,,,,,,,,,,
NC_000962.3,4243233,,,embA,,,,,,,,,,,,,,,
NC_000962.3,4246514,,,embB,,,,,,,,,,,,,,,
NC_000962.3,4407528,,,gidB,,,,,,,,,,,,,,,

